dataset_name,InceptionTime,InceptionTime + agg features,FCN,FCN +agg features,ResNet,ResNet + agg features,HIVE-COTE
ACSF1,0.9200,0.9500,0.8980,0.9020,0.9160,0.9220,
Adiac,0.8363,0.8598,0.8440,0.8532,0.8289,0.8476,0.8107
ArrowHead,0.8286,0.8503,0.8429,0.8811,0.8446,0.8674,0.8629
Beef,0.7000,0.7667,0.6967,0.7267,0.7533,0.7733,0.9333
BeetleFly,0.8500,0.7200,0.8600,0.9400,0.8500,0.9800,0.9500
BirdChicken,0.9500,0.9900,0.9550,0.9800,0.8850,0.9400,0.8500
BME,0.9933,1.0000,0.8360,0.9027,0.9987,0.9987,
Car,0.9000,0.9133,0.9050,0.9100,0.9250,0.9167,0.8667
CBF,0.9989,0.9991,0.9939,0.9976,0.9950,0.9980,0.9989
Chinatown,0.9854,0.9825,0.9796,0.9813,0.9784,0.9796,
ChlorineConcentration,0.8753,0.8710,0.8138,0.7871,0.8436,0.8264,0.7120
CinCECGTorso,0.8514,0.8383,0.8243,0.9103,0.8261,0.8636,0.9964
Coffee,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Computers,0.8120,0.8216,0.8220,0.8400,0.8148,0.7816,0.7600
CricketX,0.8667,0.8610,0.7923,0.7913,0.7913,0.7887,0.8231
CricketY,0.8513,0.8538,0.7867,0.7959,0.8033,0.8210,0.8487
CricketZ,0.8590,0.8621,0.8108,0.8133,0.8115,0.7944,0.8308
Crop,0.7722,0.7547,0.7382,0.6948,0.7429,0.6735,
DiatomSizeReduction,0.9314,0.9294,0.3134,0.8719,0.3013,0.7444,0.9412
DistalPhalanxOutlineAgeGroup,0.7266,0.7942,0.7101,0.7324,0.7165,0.7338,0.7626
DistalPhalanxOutlineCorrect,0.7935,0.8072,0.7601,0.7754,0.7710,0.6761,0.7717
DistalPhalanxTW,0.6763,0.7309,0.6899,0.7237,0.6647,0.6763,0.6835
DodgerLoopDay,0.1500,0.5075,0.1425,0.4375,0.1500,0.4500,
DodgerLoopGame,0.8551,0.5870,0.7681,0.6522,0.7101,0.6159,
DodgerLoopWeekend,0.9710,0.9623,0.9044,0.3261,0.9522,0.9783,
Earthquakes,0.7410,0.7640,0.7273,0.7453,0.7115,0.7482,0.7482
ECG200,0.9100,0.9240,0.8890,0.8800,0.8740,0.8880,0.8500
ECG5000,0.9409,0.9438,0.9398,0.9438,0.9342,0.9276,0.9462
ECGFiveDays,1.0000,1.0000,0.9870,0.9856,0.9748,0.9963,1.0000
ElectricDevices,0.7227,0.7321,0.7019,0.7085,0.7291,0.7164,0.7703
EOGHorizontalSignal,0.5939,0.6044,0.5646,0.5724,0.5994,0.5812,
EOGVerticalSignal,0.4751,0.4851,0.4464,0.4525,0.4453,0.4486,
EthanolLevel,0.8140,0.8800,0.4840,0.7336,0.7584,0.8640,
FaceAll,0.8041,0.8012,0.9450,0.9630,0.8388,0.8607,0.8030
FaceFour,0.9659,0.9659,0.9284,0.9250,0.9545,0.9523,0.9545
FacesUCR,0.9732,0.9671,0.9464,0.9446,0.9547,0.9545,0.9629
FiftyWords,0.8418,0.8237,0.6275,0.6892,0.7396,0.7042,0.8088
Fish,0.9829,0.9863,0.9583,0.9623,0.9794,0.9806,0.9886
FordA,0.9483,0.9602,0.9036,0.9259,0.9205,0.9382,0.9644
FordB,0.9365,0.8652,0.8778,0.7990,0.9131,0.8272,0.8235
FreezerRegularTrain,0.9965,0.9978,0.9968,0.9978,0.9985,0.9989,
FreezerSmallTrain,0.8674,0.8659,0.6831,0.8151,0.8322,0.9561,
Fungi,1.0000,0.9903,0.0183,0.5054,0.1774,0.6194,
GunPoint,1.0000,0.9987,1.0000,1.0000,0.9907,1.0000,1.0000
GunPointAgeSpan,0.9873,0.9930,0.9956,0.9968,0.9968,0.9981,
GunPointMaleVersusFemale,0.9937,1.0000,0.9968,0.9994,0.9924,0.9949,
GunPointOldVersusYoung,0.9651,0.9867,0.9886,0.9898,0.9892,0.9949,
Ham,0.7143,0.7810,0.7181,0.7010,0.7571,0.7524,0.6667
HandOutlines,0.9595,0.9600,0.8059,0.8914,0.9111,0.9351,0.9324
Haptics,0.5682,0.5708,0.4799,0.5006,0.5188,0.5208,0.5195
Herring,0.7031,0.7250,0.6078,0.7688,0.6188,0.6375,0.6875
HouseTwenty,0.9748,0.9798,0.9815,0.9866,0.9832,0.9916,
InlineSkate,0.4855,0.5015,0.3393,0.3411,0.3731,0.3473,0.5000
InsectEPGRegularTrain,1.0000,0.9960,0.9992,1.0000,0.9976,1.0000,
InsectEPGSmallTrain,0.9438,0.9414,0.2185,0.4618,0.3719,0.5831,
InsectWingbeatSound,0.6348,0.6296,0.3928,0.4398,0.5065,0.4953,0.6551
ItalyPowerDemand,0.9679,0.9728,0.9610,0.9679,0.9630,0.9703,0.9631
LargeKitchenAppliances,0.9067,0.9125,0.9019,0.8912,0.8997,0.8912,0.8640
Lightning2,0.8033,0.7869,0.7393,0.6885,0.7705,0.7279,0.8197
Lightning7,0.8082,0.8685,0.8274,0.8575,0.8452,0.8767,0.7397
Mallat,0.9629,0.9608,0.9673,0.9755,0.9716,0.9794,0.9620
Meat,0.9500,0.9667,0.8533,0.9733,0.9683,1.0000,0.9333
MedicalImages,0.7987,0.7908,0.7788,0.7774,0.7703,0.7847,0.7776
MiddlePhalanxOutlineAgeGroup,0.5325,0.6169,0.5532,0.6299,0.5688,0.3779,0.5974
MiddlePhalanxOutlineCorrect,0.8351,0.8405,0.8014,0.8241,0.8089,0.8241,0.8316
MiddlePhalanxTW,0.5130,0.5857,0.5123,0.5701,0.4844,0.5442,0.5714
MixedShapesRegularTrain,0.9703,0.9715,0.9549,0.9560,0.9092,0.9764,
MixedShapesSmallTrain,0.9146,0.9168,0.8934,0.9033,0.9729,0.9196,
MoteStrain,0.9034,0.8922,0.9367,0.9363,0.9276,0.9238,0.9329
NonInvasiveFetalECGThorax1,0.9623,0.9605,0.9564,0.9599,0.9454,0.9598,0.9303
NonInvasiveFetalECGThorax2,0.9674,0.9631,0.9532,0.9549,0.9461,0.9582,0.9445
OliveOil,0.8667,0.8467,0.7233,0.9000,0.8300,0.9067,0.9000
OSULeaf,0.9339,0.9413,0.9773,0.9810,0.9785,0.9802,0.9793
PhalangesOutlinesCorrect,0.8543,0.8564,0.8202,0.8207,0.8390,0.8210,0.8065
Phoneme,0.3354,0.3314,0.3248,0.3140,0.3343,0.2757,0.3824
PigAirwayPressure,0.5433,0.4981,0.1721,0.0192,0.4058,0.4173,
PigArtPressure,0.9952,0.9865,0.9865,0.9673,0.9913,0.9990,
PigCVP,0.9615,0.9452,0.8308,0.8058,0.9183,0.9173,
Plane,1.0000,0.9981,1.0000,1.0000,1.0000,1.0000,1.0000
PowerCons,0.9444,0.9611,0.8633,0.8733,0.8789,0.8789,
ProximalPhalanxOutlineAgeGroup,0.8537,0.8702,0.8312,0.8527,0.8532,0.8585,0.8585
ProximalPhalanxOutlineCorrect,0.9313,0.9230,0.9031,0.9203,0.9213,0.9079,0.8797
ProximalPhalanxTW,0.7756,0.8049,0.7673,0.8107,0.7805,0.8185,0.8146
RefrigerationDevices,0.5093,0.5515,0.5083,0.2960,0.5253,0.2837,0.5573
Rock,0.8000,0.7600,0.6320,0.6960,0.5520,0.6160,
ScreenType,0.5760,0.6192,0.6245,0.6331,0.6216,0.5749,0.5893
SemgHandGenderCh2,0.8167,0.8640,0.8157,0.8410,0.8237,0.8297,
SemgHandMovementCh2,0.4822,0.4644,0.4760,0.5404,0.4391,0.4991,
SemgHandSubjectCh2,0.8244,0.8191,0.7422,0.7951,0.7387,0.7187,
ShapeletSim,0.9889,0.9222,0.7244,0.9244,0.7794,1.0000,1.0000
ShapesAll,0.9250,0.9230,0.8953,0.8920,0.9213,0.9190,0.9050
SmallKitchenAppliances,0.7787,0.8021,0.7835,0.7883,0.7861,0.7963,0.8533
SmoothSubspace,0.9933,0.9867,0.9747,0.9907,0.8800,0.9907,
SonyAIBORobotSurface1,0.8835,0.9195,0.9602,0.9910,0.9581,0.9714,0.7654
SonyAIBORobotSurface2,0.9528,0.9618,0.9788,0.9830,0.9778,0.9855,0.9276
StarLightCurves,0.9792,0.9798,0.9614,0.9766,0.9718,0.9727,0.9815
Strawberry,0.9838,0.9876,0.9719,0.9773,0.9805,0.9800,0.9703
SwedishLeaf,0.9712,0.9722,0.9693,0.9699,0.9563,0.9664,0.9536
Symbols,0.9819,0.9795,0.9553,0.9692,0.9064,0.9588,0.9739
SyntheticControl,0.9967,0.9973,0.9853,0.9933,0.9983,0.9993,0.9967
ToeSegmentation1,0.9693,0.9667,0.9614,0.9711,0.9627,0.9684,0.9825
ToeSegmentation2,0.9385,0.9538,0.8800,0.9277,0.9062,0.9262,0.9538
Trace,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
TwoLeadECG,0.9956,0.9977,0.9997,1.0000,1.0000,1.0000,0.9965
TwoPatterns,1.0000,1.0000,0.8708,0.8846,0.9999,0.9887,1.0000
UMD,0.9861,0.9819,0.9875,1.0000,0.9800,0.9931,
UWaveGestureLibraryAll,0.9545,0.9452,0.8171,0.8683,0.8595,0.8673,0.9685
UWaveGestureLibraryX,0.8247,0.8171,0.7536,0.7940,0.7805,0.7739,0.8398
UWaveGestureLibraryY,0.7688,0.7634,0.6391,0.6842,0.6701,0.6357,0.7655
UWaveGestureLibraryZ,0.7697,0.7655,0.7263,0.7615,0.7501,0.7586,0.7831
Wafer,0.9987,0.9992,0.9971,0.9979,0.9986,0.9979,0.9994
Wine,0.6667,0.7519,0.5870,0.6333,0.7444,0.9148,0.7778
WordSynonyms,0.7555,0.7357,0.5639,0.5486,0.6224,0.6122,0.7382
Worms,0.8052,0.8390,0.7649,0.7896,0.7909,0.8442,0.5584
WormsTwoClass,0.7922,0.8182,0.7260,0.7818,0.7468,0.8390,0.7792
Yoga,0.9057,0.9110,0.8385,0.8341,0.8702,0.8819,0.9177
